Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/03  23:00:00,1.683561169,0.33524381,0.33524381,0.33524381,0.451169115,0.098298255,0.205880856,0.575857133,4.020497958
 01/03  24:00:00,1.383037603,0.352349475,0.352349475,0.352349475,0.309757866,0.067488347,0.135920782,0.500409133,3.453662156
 01/04  01:00:00,1.08276662,0.368546698,0.368546698,0.368546698,0.161612796,0.035211311,0.086369242,0.413914574,2.885514637
 01/04  02:00:00,0.963657265,0.378386111,0.378386111,0.378386111,0.094274166,0.020539939,0.072238755,0.381106294,2.666974752
 01/04  03:00:00,0.904775856,0.369250879,0.369250879,0.369250879,0.067338672,0.014671381,0.059715255,0.37668767,2.530941471
 01/04  04:00:00,0.889489754,0.366371354,0.366371354,0.366371354,0.067338672,0.014671381,0.052611026,0.371385321,2.494610216
 01/04  05:00:00,0.881837115,0.362207162,0.362207162,0.362207162,0.067338672,0.014671381,0.063151709,0.357356191,2.470976554
 01/04  06:00:00,0.932445533,0.358561204,0.358561204,0.358561204,0.067338672,0.014671381,0.075981488,0.398780788,2.564901474
 01/04  07:00:00,1.169580864,0.37333569,0.37333569,0.37333569,0.154878975,0.033744183,0.129758031,0.460751986,3.068721109
 01/04  08:00:00,1.458696858,0.34414816,0.34414816,0.34414816,0.316491771,0.068955493,0.207405929,0.489583505,3.573578036
 01/04  09:00:00,1.408573928,0.33981144,0.33981144,0.33981144,0.303024045,0.066021219,0.268690649,0.413914574,3.479658735
 01/04  10:00:00,1.231200945,0.343157518,0.343157518,0.343157518,0.154878975,0.033744183,0.330033496,0.352274774,3.131604927
 01/04  11:00:00,1.227764769,0.349397401,0.349397401,0.349397401,0.127943439,0.027875616,0.34487662,0.360559693,3.13721234
 01/04  12:00:00,1.301466137,0.406745197,0.406745197,0.406745197,0.127943439,0.027875616,0.361119726,0.360670159,3.399310668
 01/04  13:00:00,1.239487191,0.360115611,0.360115611,0.360115611,0.127943439,0.027875616,0.351845974,0.354594551,3.182093604
 01/04  14:00:00,1.198826768,0.341191698,0.341191698,0.341191698,0.127943439,0.027875616,0.317847783,0.366856232,3.062924932
 01/04  15:00:00,1.192101669,0.330814095,0.330814095,0.330814095,0.134677344,0.029342762,0.292642171,0.387513298,3.028719529
 01/04  16:00:00,1.281453401,0.347398539,0.347398539,0.347398539,0.168346701,0.036678457,0.302863616,0.409054088,3.24059188
 01/04  17:00:00,1.54594798,0.34683373,0.34683373,0.34683373,0.282822414,0.061619798,0.353720743,0.483839294,3.768451419
 01/04  18:00:00,2.089541258,0.399893481,0.399893481,0.399893481,0.52524165,0.114436773,0.445069937,0.587787417,4.961757478
 01/04  19:00:00,2.385897843,0.351025777,0.351025777,0.351025777,0.781128612,0.170188022,0.398283704,0.638159727,5.426735239
 01/04  20:00:00,2.348835467,0.348947556,0.348947556,0.348947556,0.828265695,0.180457992,0.315345897,0.658706327,5.378454046
 01/04  21:00:00,2.203998206,0.36035289,0.36035289,0.36035289,0.713789982,0.155516632,0.275874928,0.681351773,5.111590191
 01/04  22:00:00,2.031235457,0.360446969,0.360446969,0.360446969,0.599314185,0.130575291,0.258342283,0.665444728,4.766252851
 01/04  23:00:00,1.712203716,0.363886357,0.363886357,0.363886357,0.451169115,0.098298255,0.205880856,0.575857133,4.135068146
 01/04  24:00:00,1.402556624,0.371868496,0.371868496,0.371868496,0.309757866,0.067488347,0.135920782,0.500409133,3.53173824
 01/05  01:00:00,1.079144183,0.36492426,0.36492426,0.36492426,0.161612796,0.035211311,0.086369242,0.413914574,2.871024886
 01/05  02:00:00,0.937179104,0.351907951,0.351907951,0.351907951,0.094274166,0.020539939,0.072238755,0.381106294,2.561062111
 01/05  03:00:00,0.885348337,0.349823359,0.349823359,0.349823359,0.067338672,0.014671381,0.059715255,0.37668767,2.453231392
 01/05  04:00:00,0.867649867,0.344531467,0.344531467,0.344531467,0.067338672,0.014671381,0.052611026,0.371385321,2.407250668
 01/05  05:00:00,0.860691301,0.341061349,0.341061349,0.341061349,0.067338672,0.014671381,0.063151709,0.357356191,2.386393301
 01/05  06:00:00,0.909513651,0.335629322,0.335629322,0.335629322,0.067338672,0.014671381,0.075981488,0.398780788,2.473173946
 01/05  07:00:00,1.143893571,0.347648397,0.347648397,0.347648397,0.154878975,0.033744183,0.129758031,0.460751986,2.965971937
 01/05  08:00:00,1.460061524,0.345512826,0.345512826,0.345512826,0.316491771,0.068955493,0.207405929,0.489583505,3.5790367
 01/05  09:00:00,1.395590928,0.326828441,0.326828441,0.326828441,0.303024045,0.066021219,0.268690649,0.413914574,3.427726738
 01/05  10:00:00,1.216922233,0.328878806,0.328878806,0.328878806,0.154878975,0.033744183,0.330033496,0.352274774,3.074490079
 01/05  11:00:00,1.209330531,0.330963162,0.330963162,0.330963162,0.127943439,0.027875616,0.34487662,0.360559693,3.063475385
 01/05  12:00:00,1.223807707,0.329086768,0.329086768,0.329086768,0.127943439,0.027875616,0.361119726,0.360670159,3.088676951
 01/05  13:00:00,1.203372257,0.324000676,0.324000676,0.324000676,0.127943439,0.027875616,0.351845974,0.354594551,3.037633865
 01/05  14:00:00,1.179582889,0.321947819,0.321947819,0.321947819,0.127943439,0.027875616,0.317847783,0.366856232,2.985949416
 01/05  15:00:00,1.178719266,0.317431692,0.317431692,0.317431692,0.134677344,0.029342762,0.292642171,0.387513298,2.975189917
 01/05  16:00:00,1.252579116,0.318524254,0.318524254,0.318524254,0.168346701,0.036678457,0.302863616,0.409054088,3.12509474
 01/05  17:00:00,1.509219715,0.310105465,0.310105465,0.310105465,0.282822414,0.061619798,0.353720743,0.483839294,3.621538359
 01/05  18:00:00,2.048021406,0.358373629,0.358373629,0.358373629,0.52524165,0.114436773,0.445069937,0.587787417,4.79567807
 01/05  19:00:00,2.346212993,0.311340927,0.311340927,0.311340927,0.781128612,0.170188022,0.398283704,0.638159727,5.267995839
 01/05  20:00:00,2.284415315,0.284527404,0.284527404,0.284527404,0.828265695,0.180457992,0.315345897,0.658706327,5.120773438
 01/05  21:00:00,2.132445679,0.288800363,0.288800363,0.288800363,0.713789982,0.155516632,0.275874928,0.681351773,4.825380083
